#{"t_start": 1774834045.8859305, "env_id": "None"}
r,l,t
3.2,43,21.991694
3.6,47,22.014444
3.8,49,22.037752
3.4,45,22.060613
3.4,45,22.087868
3.5,46,22.110648
3.3,44,22.130898
3.3,44,22.151565
3.2,43,22.174359
3.3,44,22.198715
3.2,43,22.219122
4.0,51,22.243014
3.2,43,22.263422
4.3,54,22.289805
3.5,46,22.310189
3.3,44,22.332277
3.4,45,22.365859
3.5,46,22.389849
3.5,46,22.414037
3.6,47,22.440107
3.4,45,22.491241
3.2,43,22.526983
4.5,56,22.553088
3.4,45,22.576826
3.2,43,22.600781
3.1,42,22.623781
3.2,43,22.645228
3.2,43,22.665091
3.5,46,22.689385
3.8,49,22.712135
3.2,43,22.734113
3.2,43,22.754994
4.7,58,22.783536
3.2,43,22.803855
3.1,42,22.822762
3.2,43,22.844397
3.1,42,22.867627
3.5,46,22.894562
3.1,42,22.914849
3.4,45,22.936154
3.2,43,22.959323
3.6,47,22.98115
3.8,49,23.005345
3.2,43,23.025579
3.4,45,23.053033
3.2,43,23.086966
3.3,44,23.124541
3.2,43,23.147992
3.4,45,23.171886
3.6,47,23.195079
3.4,45,23.216825
3.3,44,23.238237
3.2,43,23.261591
3.3,44,23.281937
3.2,43,23.302934
3.5,46,23.32571
3.5,46,23.350586
3.2,43,23.371529
3.2,43,23.390256
3.3,44,23.411286
3.2,43,23.434972
3.5,46,23.458103
3.3,44,23.47926
4.1,52,23.510491
3.4,45,23.551839
3.8,49,23.588578
3.4,45,23.618547
3.3,44,23.645844
3.3,44,23.669806
3.2,43,23.691788
4.1,52,23.717948
4.2,53,23.744462
3.2,43,23.767146
3.1,42,23.7887
3.6,47,23.810508
4.6,57,23.839697
5.0,61,23.872333
3.1,42,23.89731
3.6,47,23.920911
4.0,51,23.944089
3.3,44,23.967448
3.2,43,23.98895
3.2,43,24.009424
3.2,43,24.031756
3.4,45,24.055745
3.5,46,24.084218
3.8,49,24.107643
3.6,47,24.134175
3.2,43,24.159055
3.4,45,24.181679
3.3,44,24.203359
3.6,47,24.227134
3.2,43,24.248484
3.7,48,24.271916
3.9,50,24.296974
3.5,46,24.31775
4.6,57,24.349828
3.2,43,24.369069
4.1,52,24.395187
3.2,43,24.417176
3.5,46,24.441401
3.2,43,24.460415
3.9,50,24.487363
3.5,46,24.50906
4.4,55,24.564403
4.0,51,24.606912
3.4,45,24.630741
3.6,47,24.656544
3.3,44,24.682384
3.4,45,24.705121
3.6,47,24.728784
3.8,49,24.751675
3.3,44,24.775404
4.1,52,24.800652
3.4,45,24.822458
3.5,46,24.845697
4.2,53,24.872921
3.1,42,24.893807
3.8,49,24.925218
4.4,55,24.952895
3.6,47,24.977609
3.5,46,25.003593
3.5,46,25.025419
3.3,44,25.046924
3.6,47,25.072274
4.4,55,25.103985
3.3,44,25.125755
3.7,48,25.152755
3.2,43,25.178571
3.3,44,25.200921
3.5,46,25.222827
3.5,46,25.246727
4.3,54,25.27667
3.6,47,25.319869
3.4,45,25.355602
3.4,45,25.378274
3.4,45,25.40407
3.4,45,25.42601
3.4,45,25.450447
3.7,48,25.473827
3.2,43,25.497964
3.2,43,25.518875
3.7,48,25.542011
4.1,52,25.580343
3.7,48,25.608785
3.9,50,25.636225
3.4,45,25.658439
3.4,45,25.685334
3.6,47,25.709923
3.2,43,25.731033
3.4,45,25.761059
3.4,45,25.796767
4.6,57,25.834455
3.8,49,25.859578
3.3,44,25.881346
3.9,50,25.908071
3.3,44,25.93885
3.7,48,25.963487
3.1,42,25.984372
3.3,44,26.006819
3.9,50,26.03482
3.5,46,26.057488
4.7,58,26.092947
4.6,57,26.121468
3.7,48,26.14794
3.2,43,26.170668
3.6,47,26.195804
3.3,44,26.22029
3.5,46,26.245533
3.5,46,26.267816
3.8,49,26.325112
4.9,60,26.356049
5.0,61,26.387906
3.8,49,26.413263
3.3,44,26.436961
4.2,53,26.462268
3.3,44,26.486327
3.4,45,26.509274
5.3,64,26.543748
3.3,44,26.563998
3.7,48,26.589979
4.3,54,26.644072
3.4,45,26.682968
4.0,51,26.709179
3.6,47,26.735148
3.2,43,26.758356
3.2,43,26.778867
3.2,43,26.801265
4.1,52,26.833608
4.1,52,26.859934
3.8,49,26.884408
3.5,46,26.908845
5.0,61,26.958881
5.3,64,27.001607
3.5,46,27.025761
3.7,48,27.049469
4.0,51,27.082612
3.3,44,27.104952
4.6,57,27.136044
3.7,48,27.161868
3.5,46,27.187169
3.7,48,27.211292
3.1,42,27.233044
4.3,54,27.265675
3.6,47,27.308159
3.7,48,27.344081
4.2,53,27.371274
3.4,45,27.393942
3.3,44,27.417988
3.3,44,27.440452
3.5,46,27.464778
4.4,55,27.493683
3.7,48,27.521705
3.5,46,27.543664
4.8,59,27.574482
4.7,58,27.602879
4.1,52,27.633841
3.4,45,27.666715
3.9,50,27.6918
3.5,46,27.715734
4.2,53,27.746213
4.0,51,27.775572
3.6,47,27.799815
3.9,50,27.827148
3.7,48,27.852904
3.9,50,27.876789
5.6,67,27.911018
4.2,53,27.937615
3.7,48,27.967725
4.7,58,27.999566
3.7,48,28.024936
4.6,57,28.055793
4.6,57,28.09713
4.2,53,28.129882
3.9,50,28.171406
3.6,47,28.21001
3.8,49,28.237153
3.8,49,28.26312
3.6,47,28.293657
4.3,54,28.330818
3.7,48,28.358746
4.6,57,28.387002
3.9,50,28.413055
3.6,47,28.437396
3.8,49,28.463479
4.6,57,28.492862
4.4,55,28.518814
3.3,44,28.541044
3.9,50,28.570162
3.5,46,28.593038
6.5,76,28.654656
4.0,51,28.700237
4.3,54,28.771522
3.6,47,28.807525
3.8,49,28.834826
4.1,52,28.861695
3.8,49,28.888597
3.9,50,28.913565
3.8,49,28.941952
3.5,46,28.966126
3.7,48,28.998354
3.5,46,29.021775
3.5,46,29.044432
3.7,48,29.070808
4.1,52,29.10371
4.5,56,29.133565
3.7,48,29.158247
3.7,48,29.182995
4.1,52,29.212086
3.9,50,29.239728
4.2,53,29.267915
3.5,46,29.290422
4.0,51,29.320815
4.3,54,29.352587
3.7,48,29.377222
4.1,52,29.405125
4.3,54,29.434863
3.4,45,29.458997
3.4,45,29.484082
5.8,69,29.520351
5.0,61,29.554645
3.4,45,29.57716
5.1,62,29.609658
4.4,55,29.638959
3.6,47,29.666358
4.6,57,29.69764
3.6,47,29.722341
4.5,56,29.752499
4.7,58,29.785031
5.0,61,29.816573
4.0,51,29.842793
3.6,47,29.867868
4.1,52,29.897353
3.5,46,29.920582
3.7,48,29.945729
4.2,53,29.973245
4.3,54,30.011364
4.5,56,30.044836
4.2,53,30.072711
5.2,63,30.124435
4.1,52,30.153249
3.6,47,30.178128
4.6,57,30.20971
4.7,58,30.239986
4.1,52,30.267468
3.6,47,30.294466
4.5,56,30.323149
3.9,50,30.351547
4.3,54,30.38199
3.6,47,30.407058
3.6,47,30.432322
3.9,50,30.458329
3.3,44,30.482285
4.0,51,30.509138
4.0,51,30.536948
3.6,47,30.559911
6.5,76,30.601875
4.2,53,30.630975
3.9,50,30.660392
4.5,56,30.689851
4.7,58,30.72499
3.7,48,30.750346
3.7,48,30.774476
4.3,54,30.80326
