#{"t_start": 1774834045.8859305, "env_id": "None"}
r,l,t
1.6,27,58.15526
6.3,74,58.202817
9.9,110,58.265878
1.6,27,58.283441
1.6,27,58.302245
12.3,134,58.385808
12.3,134,58.468219
1.6,27,58.486683
1.6,27,58.501824
4.6,57,58.539644
1.6,27,58.561055
1.6,27,58.579341
1.6,27,58.595844
1.6,27,58.620564
12.3,134,58.753774
1.6,27,58.772687
7.6,87,58.830657
1.6,27,58.845613
12.6,137,58.944755
1.6,27,58.961463
1.6,27,58.978139
1.6,27,58.994844
1.6,27,59.011327
4.8,59,59.048387
4.8,59,59.086107
6.0,71,59.155285
4.3,54,59.19429
1.6,27,59.212759
5.8,69,59.257224
4.0,51,59.288579
5.0,61,59.324093
3.6,47,59.358993
1.6,27,59.388049
6.9,80,59.461556
1.6,27,59.478659
1.6,27,59.49651
12.3,134,59.587302
12.6,137,59.671478
1.6,27,59.688297
1.6,27,59.706104
1.6,27,59.724513
5.0,61,59.764231
6.5,76,59.812011
1.6,27,59.828856
3.7,48,59.857392
6.1,72,59.89956
11.3,124,59.972416
1.6,27,59.992529
12.8,139,60.105856
1.6,27,60.142466
10.8,119,60.214472
6.0,71,60.258483
12.5,136,60.342978
1.6,27,60.359361
1.6,27,60.375828
1.6,27,60.394785
11.4,125,60.470933
9.9,110,60.536738
1.6,27,60.5534
1.6,27,60.571515
7.7,88,60.633129
4.0,51,60.664407
13.2,143,60.750671
4.8,59,60.790962
7.5,86,60.848671
1.6,27,60.86515
1.6,27,60.881782
3.9,50,60.912415
6.1,72,60.960067
1.6,27,60.976534
7.7,88,61.029253
12.3,134,61.115062
5.0,61,61.153805
1.6,27,61.170449
4.2,53,61.201979
1.6,27,61.220414
1.6,27,61.235535
1.6,27,61.251772
4.0,51,61.287499
1.6,27,61.329308
1.6,27,61.35353
9.8,109,61.423563
4.4,55,61.455049
12.3,134,61.540004
10.4,115,61.61863
5.1,62,61.657457
8.9,100,61.720963
14.0,151,61.816895
13.5,146,61.904082
12.3,134,61.987781
9.0,101,62.047943
12.3,134,62.131716
7.0,81,62.253155
5.8,69,62.348147
9.9,110,62.46684
10.7,118,62.54352
12.3,134,62.630938
12.3,134,62.714419
12.3,134,62.803572
11.9,130,62.884498
12.3,134,62.967823
12.3,134,63.049332
12.3,134,63.134702
12.3,134,63.220306
11.2,123,63.30048
12.3,134,63.380964
12.3,134,63.466484
12.3,134,63.552342
12.3,134,63.641498
8.1,92,63.700391
12.3,134,63.814155
12.3,134,63.895122
12.3,134,63.977505
13.4,145,64.072598
12.3,134,64.163651
12.3,134,64.280101
12.3,134,64.408876
12.4,135,64.538424
16.1,157,64.654046
12.3,134,64.759962
12.8,139,64.84949
12.3,134,64.93067
13.5,146,65.021848
12.3,134,65.10911
13.3,144,65.198472
12.3,134,65.280465
12.3,134,65.367185
12.6,137,65.450848
13.7,148,65.543951
12.3,134,65.627277
12.3,134,65.716004
12.3,134,65.798881
12.3,134,65.887496
12.3,134,65.969235
12.7,138,66.055892
15.8,154,66.157482
12.3,134,66.241123
13.1,142,66.371892
15.8,154,66.502749
12.3,134,66.589644
12.3,134,66.672046
12.3,134,66.763031
12.3,134,66.846016
12.3,134,66.936933
12.6,137,67.020711
12.3,134,67.107475
12.3,134,67.192717
12.3,134,67.276073
12.3,134,67.371623
12.3,134,67.456129
14.0,151,67.565949
12.3,134,67.656061
12.3,134,67.745127
12.3,134,67.83716
12.3,134,67.917068
12.3,134,68.00374
12.3,134,68.084005
15.9,155,68.186231
12.3,134,68.267803
12.3,134,68.352938
23.8,234,68.538459
12.3,134,68.618022
12.3,134,68.701907
12.3,134,68.815681
12.3,134,68.923897
12.3,134,69.008472
12.3,134,69.092272
15.6,152,69.188454
12.3,134,69.27555
7.1,82,69.324534
12.3,134,69.406971
12.3,134,69.488639
12.3,134,69.576437
12.3,134,69.712894
13.1,142,69.84958
17.4,170,69.95491
12.5,136,70.052857
12.3,134,70.14106
24.3,239,70.317328
4.3,54,70.350886
12.3,134,70.430923
12.3,134,70.512908
12.3,134,70.659542
23.8,234,70.809598
12.3,134,70.894314
12.3,134,70.977018
12.3,134,71.057849
12.3,134,71.152503
12.3,134,71.235249
12.3,134,71.351614
4.6,57,71.386574
12.3,134,71.469481
23.8,234,71.612967
12.3,134,71.696151
12.3,134,71.775935
7.5,86,71.841847
12.3,134,71.924811
16.0,156,72.019714
12.3,134,72.102008
12.3,134,72.191662
12.3,134,72.272631
8.3,94,72.331441
12.3,134,72.426712
16.6,162,72.608273
4.7,58,72.721408
12.3,134,72.801707
5.8,69,72.856672
7.3,84,72.9101
12.3,134,72.991913
11.1,122,73.067142
7.5,86,73.12129
12.3,134,73.2066
12.3,134,73.286779
3.6,47,73.316465
15.8,154,73.413451
12.3,134,73.499254
12.4,135,73.584189
6.8,79,73.631361
12.3,134,73.715456
12.3,134,73.800026
13.1,142,73.925815
12.3,134,74.009027
12.3,134,74.098286
12.3,134,74.181417
13.5,146,74.275415
12.3,134,74.356659
12.3,134,74.442093
12.6,137,74.539416
13.3,144,74.634695
12.3,134,74.724037
12.3,134,74.904983
39.2,358,75.126061
12.6,137,75.208592
12.3,134,75.302521
12.3,134,75.414262
12.3,134,75.498093
12.3,134,75.597099
24.2,238,75.741885
12.3,134,75.848474
16.3,159,75.956774
12.3,134,76.036887
15.6,152,76.139678
12.3,134,76.223868
12.3,134,76.342944
13.5,146,76.43529
12.3,134,76.517809
12.3,134,76.601389
5.9,70,76.643281
12.3,134,76.726645
12.3,134,76.80718
12.4,135,76.942704
12.3,134,77.099049
12.3,134,77.1907
16.2,158,77.287259
12.3,134,77.382152
13.2,143,77.474503
12.3,134,77.576304
12.3,134,77.659784
12.3,134,77.742334
17.0,166,77.843793
13.2,143,77.950723
12.3,134,78.035167
13.8,149,78.129998
12.3,134,78.218116
12.3,134,78.300314
12.3,134,78.382144
3.9,50,78.410516
8.4,95,78.474005
13.5,146,78.561426
16.6,162,78.659936
13.7,148,78.75158
13.1,142,78.839908
12.3,134,78.930218
12.3,134,79.06252
12.3,134,79.170378
12.3,134,79.255322
16.8,164,79.360034
12.3,134,79.444315
12.3,134,79.526501
12.3,134,79.614167
15.7,153,79.70802
12.3,134,79.791729
24.3,239,79.984994
27.1,252,80.14658
23.8,234,80.288925
16.0,156,80.38354
12.3,134,80.465417
12.3,134,80.55052
12.3,134,80.633712
13.3,144,80.722535
23.8,234,80.904842
12.3,134,80.985127
23.8,234,81.186648
15.8,154,81.300509
12.3,134,81.433365
12.3,134,81.516714
13.1,142,81.605759
12.3,134,81.688468
12.3,134,81.771175
12.3,134,81.85381
23.8,234,82.000401
12.3,134,82.090953
16.6,162,82.195866
12.3,134,82.28042
12.3,134,82.363391
12.3,134,82.455697
12.3,134,82.538631
16.4,160,82.638578
12.3,134,82.738693
13.4,145,82.912627
12.3,134,83.004149
13.7,148,83.106085
12.3,134,83.188277
12.3,134,83.315307
12.8,139,83.401847
12.3,134,83.484752
12.3,134,83.56719
12.3,134,83.650737
5.1,62,83.688655
12.3,134,83.77203
28.4,265,83.941877
16.1,157,84.069877
13.2,143,84.167268
12.3,134,84.251224
13.2,143,84.340325
12.3,134,84.422315
13.9,150,84.515309
16.7,163,84.618395
12.3,134,84.700772
12.3,134,84.783552
16.4,160,84.881467
12.3,134,84.993006
13.6,147,85.125024
12.3,134,85.207275
12.3,134,85.290947
12.3,134,85.422805
12.3,134,85.504503
35.3,334,85.707696
16.1,157,85.801463
12.3,134,85.885516
12.3,134,85.972531
16.3,159,86.068602
12.3,134,86.162937
12.3,134,86.248119
12.3,134,86.379121
12.4,135,86.482943
8.9,100,86.545965
13.2,143,86.634263
12.3,134,86.730212
13.0,141,86.817854
8.8,99,86.907015
6.5,76,86.958996
27.1,252,87.12379
15.9,155,87.225144
12.8,139,87.310443
12.6,137,87.42795
12.3,134,87.533187
12.3,134,87.633574
6.6,77,87.68011
12.4,135,87.764728
12.3,134,87.846868
16.3,159,87.954946
12.3,134,88.039663
16.8,164,88.143987
12.3,134,88.234927
12.3,134,88.329411
10.4,115,88.401827
12.3,134,88.488276
16.0,156,88.580419
13.9,150,88.673131
12.3,134,88.756667
24.2,238,88.902561
12.3,134,88.987563
23.8,234,89.224708
13.2,143,89.323249
12.3,134,89.406607
12.3,134,89.492988
12.3,134,89.614294
12.3,134,89.699084
12.3,134,89.784416
28.0,261,89.948165
12.3,134,90.027775
23.8,234,90.229716
12.3,134,90.32895
12.3,134,90.414113
13.5,146,90.508024
24.9,245,90.662176
13.5,146,90.759642
9.0,101,90.822097
6.5,76,90.868842
12.3,134,90.957754
12.3,134,91.047327
27.4,255,91.2215
16.5,161,91.359966
23.8,234,91.51105
7.8,89,91.584773
12.8,139,91.700338
16.5,161,91.79741
6.2,73,91.842941
17.3,169,91.995992
13.7,148,92.090783
16.8,164,92.215574
15.7,153,92.352253
12.3,134,92.45351
14.0,151,92.559332
12.3,134,92.643776
14.0,151,92.739063
12.3,134,92.826226
16.7,163,92.927103
12.3,134,93.067836
12.3,134,93.215655
13.1,142,93.319028
12.3,134,93.404034
12.3,134,93.490021
12.3,134,93.573551
4.6,57,93.610665
15.9,155,93.760842
13.7,148,93.853749
4.7,58,93.890044
24.1,237,94.043925
13.4,145,94.137209
17.2,168,94.268963
12.6,137,94.368907
12.3,134,94.455591
12.3,134,94.539798
12.3,134,94.624476
4.8,59,94.661974
12.3,134,94.750299
14.0,151,94.846835
12.3,134,94.930228
12.0,131,95.015884
4.9,60,95.054093
11.5,126,95.134181
12.3,134,95.221818
13.4,145,95.359891
12.3,134,95.450987
10.6,117,95.525378
12.3,134,95.611714
13.7,148,95.704003
12.3,134,95.836019
16.1,157,95.941889
12.0,131,96.025641
12.3,134,96.111989
12.8,139,96.204808
4.8,59,96.239342
12.3,134,96.367311
16.5,161,96.469193
4.5,56,96.505069
12.3,134,96.589147
12.3,134,96.674473
5.0,61,96.710301
8.0,91,96.771089
12.3,134,96.855541
12.8,139,96.939654
6.5,76,96.994359
12.3,134,97.084628
3.8,49,97.115848
12.3,134,97.198435
12.3,134,97.283528
12.3,134,97.389408
12.3,134,97.482017
14.0,151,97.619753
12.3,134,97.719036
11.7,128,97.819895
4.7,58,97.904771
27.4,255,98.108323
12.3,134,98.190739
16.6,162,98.294956
4.9,60,98.331377
13.1,142,98.427569
12.3,134,98.512615
12.8,139,98.599958
8.7,98,98.664304
12.3,134,98.749043
13.6,147,98.839005
12.8,139,98.929424
5.7,68,98.975175
13.4,145,99.067572
12.3,134,99.158555
4.0,51,99.190393
15.6,152,99.287362
1.6,27,99.316488
12.3,134,99.419875
4.7,58,99.458332
12.3,134,99.541336
12.3,134,99.62856
12.3,134,99.714398
17.4,170,99.822126
12.3,134,99.911434
12.3,134,100.03648
12.3,134,100.125759
12.3,134,100.21294
12.3,134,100.299856
12.3,134,100.388535
12.3,134,100.524555
12.4,135,100.609795
12.5,136,100.697404
12.3,134,100.783163
12.3,134,100.868064
4.7,58,100.905161
3.7,48,100.936037
23.8,234,101.090061
12.3,134,101.173808
12.3,134,101.260009
15.7,153,101.391443
16.1,157,101.494776
16.7,163,101.601288
12.3,134,101.70349
4.7,58,101.830003
12.8,139,102.024003
1.6,27,102.064654
12.3,134,102.276963
16.4,160,102.396361
1.6,27,102.412302
12.3,134,102.503096
13.8,149,102.602292
1.6,27,102.618644
12.3,134,102.704328
12.3,134,102.805729
12.3,134,102.901725
5.8,69,102.94415
12.3,134,103.027886
12.3,134,103.150556
6.0,71,103.199434
12.3,134,103.348963
12.3,134,103.511894
12.3,134,103.610439
12.3,134,103.714876
13.0,141,103.805403
1.6,27,103.820458
12.3,134,103.90396
12.3,134,103.993556
15.6,152,104.099216
1.6,27,104.118781
12.3,134,104.209994
13.1,142,104.348787
12.3,134,104.461913
12.3,134,104.564334
13.9,150,104.661697
12.3,134,104.753364
12.3,134,104.836645
12.3,134,104.918596
5.8,69,104.95883
13.6,147,105.05998
12.3,134,105.143851
12.3,134,105.227778
12.3,134,105.312033
12.3,134,105.398433
12.3,134,105.483528
12.3,134,105.597591
12.3,134,105.698754
12.3,134,105.788131
12.3,134,105.87378
1.6,27,105.889565
16.4,160,105.988785
12.3,134,106.083478
12.3,134,106.167762
23.8,234,106.377278
12.3,134,106.471532
11.7,128,106.562337
12.7,138,106.65066
1.6,27,106.667294
8.2,93,106.730266
12.3,134,106.816752
1.6,27,106.847691
4.9,60,106.948566
12.3,134,107.122912
11.3,124,107.251669
13.4,145,107.406108
4.7,58,107.441531
1.6,27,107.458224
12.3,134,107.544631
12.3,134,107.634112
12.3,134,107.736776
4.7,58,107.771989
4.9,60,107.812958
5.9,70,107.857374
17.4,170,107.958946
12.3,134,108.052171
6.7,78,108.101762
1.6,27,108.121122
12.3,134,108.205549
12.8,139,108.291422
12.3,134,108.381702
9.1,102,108.478481
7.8,89,108.54276
12.3,134,108.636303
5.9,70,108.695788
12.3,134,108.801833
6.3,74,108.845808
6.0,71,108.888
12.3,134,108.990772
6.4,75,109.042158
13.3,144,109.205869
12.3,134,109.293536
11.9,130,109.377093
12.3,134,109.497724
12.3,134,109.583737
12.3,134,109.674153
23.8,234,109.823818
12.9,140,109.907754
12.3,134,109.991833
13.2,143,110.083847
13.5,146,110.172983
16.1,157,110.276897
7.9,90,110.333893
12.3,134,110.416039
12.3,134,110.505349
12.3,134,110.636273
25.0,246,110.833991
12.3,134,110.911711
9.2,103,110.978363
12.3,134,111.06949
12.3,134,111.148514
12.3,134,111.231373
12.3,134,111.355357
12.3,134,111.436697
12.3,134,111.521274
12.3,134,111.605054
1.6,27,111.621819
12.3,134,111.714231
12.3,134,111.802816
12.3,134,111.886405
12.3,134,111.970733
12.3,134,112.06307
1.6,27,112.080424
3.7,48,112.109109
4.8,59,112.148047
12.3,134,112.232953
12.3,134,112.315392
12.3,134,112.410615
8.4,95,112.483748
10.5,116,112.581712
5.7,68,112.658166
23.8,234,112.810994
12.3,134,112.905731
11.4,125,112.980459
12.3,134,113.068042
12.3,134,113.147512
12.7,138,113.237441
10.8,119,113.311553
12.3,134,113.396551
12.3,134,113.476305
16.8,164,113.656793
12.3,134,113.782779
12.3,134,113.863582
6.9,80,113.914463
12.3,134,114.008043
12.3,134,114.094779
5.4,65,114.132448
14.0,151,114.228647
12.3,134,114.35842
12.3,134,114.443846
12.3,134,114.558845
28.5,266,114.819968
8.7,98,114.884474
17.5,171,114.99633
12.3,134,115.080294
12.3,134,115.163332
12.3,134,115.251717
13.0,141,115.339502
12.3,134,115.421643
12.6,137,115.511597
12.3,134,115.593394
12.3,134,115.683877
4.3,54,115.715278
1.6,27,115.733133
28.4,265,115.950387
12.3,134,116.033234
4.8,59,116.071502
12.3,134,116.153958
13.9,150,116.25783
12.3,134,116.375985
13.9,150,116.466766
12.3,134,116.551487
12.3,134,116.636571
12.3,134,116.725421
12.3,134,116.829089
12.3,134,116.942782
12.3,134,117.027962
4.7,58,117.075502
15.9,155,117.179516
4.8,59,117.216104
12.3,134,117.301223
12.3,134,117.397564
12.3,134,117.477701
12.3,134,117.561101
12.3,134,117.649821
13.2,143,117.760913
12.3,134,117.899314
10.6,117,118.005009
12.3,134,118.15524
12.3,134,118.237653
12.3,134,118.319926
17.0,166,118.423303
40.0,366,118.654438
12.3,134,118.735827
12.3,134,118.817496
12.3,134,118.951988
6.0,71,118.999081
13.7,148,119.089662
12.3,134,119.183059
13.2,143,119.269319
12.3,134,119.360921
27.6,257,119.523662
17.3,169,119.658892
12.3,134,119.741056
12.3,134,119.824419
25.3,249,120.025341
12.3,134,120.108654
15.8,154,120.223723
13.2,143,120.314626
12.8,139,120.42548
12.3,134,120.511082
11.0,121,120.585437
12.3,134,120.668003
12.6,137,120.756318
23.8,234,120.904584
17.5,171,121.105109
12.3,134,121.188285
12.3,134,121.274057
13.0,141,121.393956
12.3,134,121.482409
12.3,134,121.571117
10.4,115,121.64305
12.3,134,121.724685
13.1,142,121.814835
12.3,134,121.89724
12.3,134,121.992532
12.3,134,122.078492
28.5,266,122.245533
12.9,140,122.336942
12.3,134,122.428698
5.5,66,122.470792
12.3,134,122.553303
13.2,143,122.647852
12.3,134,122.730564
17.3,169,122.836627
12.3,134,122.921288
12.3,134,123.012993
12.7,138,123.148908
12.3,134,123.23118
12.3,134,123.319378
12.3,134,123.407281
6.7,78,123.457563
12.3,134,123.538598
12.3,134,123.621129
12.8,139,123.711741
13.2,143,123.85951
12.8,139,124.011909
13.4,145,124.115717
12.3,134,124.207099
15.9,155,124.298566
12.3,134,124.385349
12.3,134,124.467914
12.3,134,124.551147
13.8,149,124.655893
23.8,234,124.829012
12.3,134,124.908056
14.0,151,125.015932
23.8,234,125.194615
12.3,134,125.291037
12.3,134,125.370624
12.3,134,125.482714
4.1,52,125.531428
13.7,148,125.622768
23.9,235,125.788306
10.1,112,125.858159
12.3,134,125.95915
10.7,118,126.066885
16.2,158,126.189003
12.3,134,126.277084
12.3,134,126.394016
23.8,234,126.537976
11.0,121,126.611542
12.3,134,126.699151
12.3,134,126.78679
12.3,134,126.871538
12.3,134,126.951797
12.3,134,127.051853
12.4,135,127.141599
12.3,134,127.227618
16.2,158,127.393725
23.8,234,127.541316
25.5,251,127.695525
12.3,134,127.796386
12.3,134,127.878645
12.3,134,127.964888
16.3,159,128.073378
12.3,134,128.166147
12.3,134,128.251003
12.3,134,128.337509
12.3,134,128.42533
16.5,161,128.524608
16.3,159,128.622114
12.3,134,128.712712
12.3,134,128.795792
12.6,137,128.881165
12.3,134,128.963902
12.3,134,129.055415
12.3,134,129.144675
12.3,134,129.229785
12.3,134,129.31242
7.9,90,129.401944
12.3,134,129.50391
13.1,142,129.593947
8.2,93,129.650778
6.1,72,129.699104
23.8,234,129.869399
9.0,101,129.928825
23.8,234,130.072667
12.3,134,130.166122
13.0,141,130.255467
16.1,157,130.350996
6.6,77,130.398074
12.3,134,130.485846
23.8,234,130.629685
12.3,134,130.710447
24.9,245,130.86059
9.9,110,130.930145
16.6,162,131.06537
23.8,234,131.257668
12.3,134,131.383992
13.3,144,131.514853
12.3,134,131.628379
12.3,134,131.714131
23.8,234,131.85978
12.3,134,131.947313
15.7,153,132.042528
7.3,84,132.092968
12.3,134,132.187521
12.3,134,132.276842
10.4,115,132.346839
23.8,234,132.499748
23.8,234,132.637746
12.3,134,132.726609
12.2,133,132.808416
23.8,234,132.952424
12.3,134,133.033713
12.3,134,133.122921
6.7,78,133.17886
12.3,134,133.26291
17.3,169,133.366596
12.3,134,133.452012
13.0,141,133.544972
12.3,134,133.669952
12.3,134,133.757369
12.3,134,133.847679
12.3,134,133.93231
13.6,147,134.046319
12.3,134,134.217778
12.3,134,134.313027
12.3,134,134.39695
12.7,138,134.480272
12.3,134,134.573685
12.3,134,134.664603
12.3,134,134.750506
12.3,134,134.85916
12.3,134,134.943138
12.3,134,135.029931
23.8,234,135.191477
23.8,234,135.331419
4.1,52,135.36388
12.3,134,135.449648
12.3,134,135.532121
12.3,134,135.615909
12.3,134,135.728662
12.3,134,135.829309
12.3,134,135.911103
12.3,134,135.995123
17.4,170,136.097962
12.3,134,136.196308
12.3,134,136.313644
12.4,135,136.433265
12.5,136,136.517255
15.8,154,136.657869
12.9,140,136.748863
12.3,134,136.832056
12.3,134,136.930972
12.3,134,137.018146
14.0,151,137.141038
5.0,61,137.184809
12.3,134,137.271993
28.1,262,137.450709
12.3,134,137.530213
12.3,134,137.613672
14.0,151,137.70744
12.3,134,137.844661
13.3,144,137.950839
13.2,143,138.040027
13.5,146,138.130658
23.8,234,138.301156
3.9,50,138.330951
17.4,170,138.431733
12.3,134,138.5149
13.8,149,138.613472
12.6,137,138.699047
12.3,134,138.782144
27.4,255,138.938963
12.3,134,139.024307
12.3,134,139.107733
12.3,134,139.196858
12.3,134,139.285956
12.3,134,139.375053
9.0,101,139.435543
12.3,134,139.518571
16.5,161,139.621192
11.0,121,139.701886
17.4,170,139.809103
5.3,64,139.847869
10.2,113,139.980807
12.9,140,140.07776
15.8,154,140.172879
12.3,134,140.266218
12.3,134,140.348356
12.3,134,140.436405
22.5,221,140.572074
23.8,234,140.715049
15.8,154,140.807763
12.3,134,140.896009
12.3,134,140.97696
15.8,154,141.072023
7.8,89,141.124415
17.0,166,141.23579
12.3,134,141.356081
23.8,234,141.539782
4.4,55,141.572118
13.2,143,141.66553
5.4,65,141.70534
12.3,134,141.791944
7.5,86,141.842764
23.8,234,141.993553
12.3,134,142.11334
13.8,149,142.238936
12.3,134,142.329934
7.1,82,142.39467
11.3,124,142.49031
16.1,157,142.584789
12.3,134,142.688958
4.6,57,142.724441
12.3,134,142.810762
13.7,148,142.901355
23.8,234,143.044078
13.0,141,143.13659
12.3,134,143.222229
12.3,134,143.313056
12.6,137,143.397471
12.3,134,143.481721
12.3,134,143.56709
12.3,134,143.65065
12.6,137,143.736043
12.3,134,143.824873
12.3,134,143.908488
6.0,71,143.948799
6.9,80,144.00008
12.3,134,144.090746
5.6,67,144.172619
12.3,134,144.26929
12.3,134,144.433035
12.5,136,144.549113
8.1,92,144.607686
12.3,134,144.690701
5.7,68,144.732537
12.3,134,144.817438
24.3,239,144.993295
12.3,134,145.072896
12.3,134,145.155171
12.3,134,145.248188
12.3,134,145.332992
12.3,134,145.422413
12.3,134,145.507008
12.3,134,145.598499
25.3,249,145.752399
12.3,134,145.834076
8.4,95,145.890614
12.3,134,145.979244
12.3,134,146.060557
12.3,134,146.144683
12.3,134,146.274791
12.3,134,146.402493
10.3,114,146.477501
12.3,134,146.596159
12.8,139,146.682348
12.3,134,146.773918
12.3,134,146.860529
8.4,95,146.917095
12.3,134,146.999948
12.3,134,147.084677
12.3,134,147.180011
11.1,122,147.271409
12.3,134,147.366899
12.3,134,147.463491
12.3,134,147.547652
12.3,134,147.629741
12.3,134,147.747648
12.3,134,147.836708
6.6,77,147.903308
12.3,134,148.004147
12.3,134,148.084298
12.3,134,148.195848
12.3,134,148.333118
23.8,234,148.494012
12.3,134,148.574076
16.2,158,148.681961
23.9,235,148.828417
15.7,153,148.920578
17.0,166,149.023677
12.3,134,149.111364
23.8,234,149.259176
12.3,134,149.341791
10.8,119,149.416322
12.3,134,149.507499
12.3,134,149.594609
12.3,134,149.677837
13.3,144,149.766943
12.3,134,149.855739
27.6,257,150.03206
23.8,234,150.182907
12.3,134,150.266434
6.8,79,150.319027
12.3,134,150.460798
11.7,128,150.538442
1.6,27,150.554736
13.6,147,150.650539
10.4,115,150.723296
12.3,134,150.804295
10.3,114,150.872775
12.3,134,150.959157
12.3,134,151.042849
1.6,27,151.058017
12.3,134,151.142164
12.9,140,151.243551
16.3,159,151.37977
12.3,134,151.468136
12.5,136,151.553396
16.8,164,151.701943
12.4,135,151.788262
12.3,134,151.869718
12.3,134,151.953073
12.3,134,152.041896
17.0,166,152.146733
12.3,134,152.230503
12.3,134,152.330793
23.8,234,152.540529
12.3,134,152.622547
4.5,56,152.655524
12.3,134,152.739038
7.8,89,152.796849
12.3,134,152.881227
12.3,134,152.96252
1.6,27,152.977951
12.3,134,153.068002
11.8,129,153.146455
1.6,27,153.162996
12.3,134,153.278092
9.3,104,153.346789
12.3,134,153.434103
12.7,138,153.536383
12.3,134,153.619115
1.6,27,153.637155
1.6,27,153.653429
13.9,150,153.772968
12.3,134,153.85544
12.3,134,153.942359
23.8,234,154.087524
13.7,148,154.178248
12.3,134,154.271747
12.3,134,154.361154
6.9,80,154.409168
5.6,67,154.450461
12.3,134,154.613881
12.3,134,154.785941
12.3,134,154.877079
9.1,102,154.939938
23.9,235,155.102118
9.1,102,155.179152
12.3,134,155.269118
12.3,134,155.348462
12.3,134,155.432667
16.2,158,155.535815
16.0,156,155.637209
12.3,134,155.720481
12.8,139,155.806597
10.8,119,155.883761
12.3,134,155.999091
8.0,91,156.073891
12.3,134,156.15548
12.3,134,156.242903
16.0,156,156.375247
23.8,234,156.515285
12.3,134,156.604014
12.3,134,156.694291
12.3,134,156.875172
23.8,234,157.014126
12.3,134,157.097888
12.3,134,157.190938
12.3,134,157.278622
17.3,169,157.393758
12.3,134,157.476432
12.3,134,157.563397
12.3,134,157.658506
12.3,134,157.741551
16.3,159,157.839018
5.4,65,157.88197
12.3,134,157.98018
12.3,134,158.062901
12.3,134,158.145464
13.3,144,158.239714
12.3,134,158.332808
12.3,134,158.415339
12.3,134,158.499403
12.3,134,158.585113
16.0,156,158.689485
12.3,134,158.79585
12.3,134,158.931282
12.3,134,159.024594
12.3,134,159.123297
12.3,134,159.208011
12.3,134,159.31702
12.3,134,159.407807
12.7,138,159.491992
12.3,134,159.575772
12.3,134,159.666832
12.3,134,159.755282
12.3,134,159.83655
12.3,134,159.919661
12.3,134,160.001283
10.8,119,160.078849
17.4,170,160.212541
12.3,134,160.29662
13.4,145,160.386392
12.3,134,160.474523
12.3,134,160.556709
12.3,134,160.645863
15.8,154,160.739561
39.7,363,161.008635
12.3,134,161.088467
17.3,169,161.233987
11.8,129,161.384398
12.3,134,161.471217
23.8,234,161.613617
12.3,134,161.701888
4.7,58,161.739488
12.3,134,161.829859
35.3,334,162.073495
24.2,238,162.21891
12.3,134,162.305438
16.2,158,162.420755
12.3,134,162.502788
12.3,134,162.58614
13.4,145,162.680624
12.3,134,162.76962
15.6,152,162.862895
12.3,134,162.946011
12.3,134,163.069715
16.1,157,163.174831
12.9,140,163.261495
12.3,134,163.346906
12.3,134,163.431016
12.3,134,163.517804
16.0,156,163.615622
12.3,134,163.70891
12.3,134,163.792458
12.6,137,163.880499
12.3,134,163.964843
12.3,134,164.046786
12.3,134,164.129922
13.4,145,164.225795
12.3,134,164.333628
7.3,84,164.397973
12.3,134,164.478498
12.3,134,164.587429
12.3,134,164.681213
13.7,148,164.796013
12.3,134,164.970667
12.5,136,165.130721
12.3,134,165.231478
12.3,134,165.327739
17.1,167,165.430054
8.5,96,165.494836
13.7,148,165.586545
15.6,152,165.677704
16.0,156,165.781281
12.8,139,165.872992
16.1,157,165.970117
16.8,164,166.071344
23.8,234,166.215332
12.3,134,166.335048
8.7,98,166.401382
12.3,134,166.480336
12.3,134,166.563091
15.8,154,166.661714
12.3,134,166.755579
12.3,134,166.83938
6.0,71,166.881901
12.3,134,166.994117
12.3,134,167.08876
12.3,134,167.210275
12.3,134,167.303553
12.3,134,167.411471
12.3,134,167.493408
12.4,135,167.576931
12.3,134,167.658996
12.3,134,167.746409
12.3,134,167.835164
17.1,167,167.938164
4.9,60,167.993275
23.9,235,168.14218
12.3,134,168.221897
16.2,158,168.32776
12.3,134,168.410609
4.0,51,168.442164
8.3,94,168.506544
12.3,134,168.586305
12.3,134,168.668789
12.3,134,168.752631
12.3,134,168.843561
12.3,134,168.927365
23.8,234,169.07103
28.9,270,169.271589
12.3,134,169.36741
12.3,134,169.449609
12.3,134,169.532664
12.8,139,169.635498
12.3,134,169.725311
12.3,134,169.812447
12.3,134,169.916485
13.1,142,170.029809
12.3,134,170.114172
12.3,134,170.210649
12.3,134,170.319954
12.3,134,170.431499
13.1,142,170.519824
12.3,134,170.601851
12.3,134,170.688449
12.3,134,170.775513
12.3,134,170.867444
16.5,161,170.964401
24.7,243,171.113523
12.3,134,171.200566
12.3,134,171.284086
8.7,98,171.42807
12.3,134,171.509103
12.3,134,171.594277
12.3,134,171.679588
12.3,134,171.765761
11.1,122,171.847766
10.7,118,171.923213
12.3,134,172.008669
14.0,151,172.139737
12.3,134,172.221184
8.6,97,172.284519
12.3,134,172.387417
11.2,123,172.475106
13.9,150,172.583242
12.3,134,172.672094
12.3,134,172.753536
25.1,247,172.911712
16.2,158,173.004357
12.3,134,173.090103
12.3,134,173.174407
13.9,150,173.268002
12.3,134,173.352928
16.5,161,173.504109
13.9,150,173.594604
12.3,134,173.678755
12.3,134,173.761222
12.3,134,173.850165
23.8,234,173.998603
